"Meaning of Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Government Organization","Alabama","1942","GO0001","Total Federal, state, and local government units","State and Local ","511"
"Government Organization","Alabama","1952","GO0001","Total Federal, state, and local government units","State and Local ","548"
"Government Organization","Alabama","1957","GO0001","Total Federal, state, and local government units","State and Local ","617"
"Government Organization","Alabama","1962","GO0001","Total Federal, state, and local government units","State and Local ","733"
"Government Organization","Alabama","1967","GO0001","Total Federal, state, and local government units","State and Local ","797"
"Government Organization","Alabama","1972","GO0001","Total Federal, state, and local government units","State and Local ","876"
"Government Organization","Alabama","1977","GO0001","Total Federal, state, and local government units","State and Local ","950"
"Government Organization","Alabama","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,019"
"Government Organization","Alabama","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,054"
"Government Organization","Alabama","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,122"
"Government Organization","Alabama","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,132"
"Government Organization","Alabama","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,172"
"Government Organization","Alabama","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,186"
"Government Organization","Alabama","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,209"
"Government Organization","Alabama","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,196"
"Government Organization","Alaska","1942","GO0001","Total Federal, state, and local government units","State and Local ","X"
"Government Organization","Alaska","1952","GO0001","Total Federal, state, and local government units","State and Local ","49"
"Government Organization","Alaska","1957","GO0001","Total Federal, state, and local government units","State and Local ","42"
"Government Organization","Alaska","1962","GO0001","Total Federal, state, and local government units","State and Local ","57"
"Government Organization","Alaska","1967","GO0001","Total Federal, state, and local government units","State and Local ","62"
"Government Organization","Alaska","1972","GO0001","Total Federal, state, and local government units","State and Local ","121"
"Government Organization","Alaska","1977","GO0001","Total Federal, state, and local government units","State and Local ","151"
"Government Organization","Alaska","1982","GO0001","Total Federal, state, and local government units","State and Local ","157"
"Government Organization","Alaska","1987","GO0001","Total Federal, state, and local government units","State and Local ","173"
"Government Organization","Alaska","1992","GO0001","Total Federal, state, and local government units","State and Local ","175"
"Government Organization","Alaska","1997","GO0001","Total Federal, state, and local government units","State and Local ","176"
"Government Organization","Alaska","2002","GO0001","Total Federal, state, and local government units","State and Local ","176"
"Government Organization","Alaska","2007","GO0001","Total Federal, state, and local government units","State and Local ","178"
"Government Organization","Alaska","2012","GO0001","Total Federal, state, and local government units","State and Local ","178"
"Government Organization","Alaska","2017","GO0001","Total Federal, state, and local government units","State and Local ","180"
"Government Organization","Arizona","1942","GO0001","Total Federal, state, and local government units","State and Local ","499"
"Government Organization","Arizona","1952","GO0001","Total Federal, state, and local government units","State and Local ","367"
"Government Organization","Arizona","1957","GO0001","Total Federal, state, and local government units","State and Local ","367"
"Government Organization","Arizona","1962","GO0001","Total Federal, state, and local government units","State and Local ","379"
"Government Organization","Arizona","1967","GO0001","Total Federal, state, and local government units","State and Local ","395"
"Government Organization","Arizona","1972","GO0001","Total Federal, state, and local government units","State and Local ","407"
"Government Organization","Arizona","1977","GO0001","Total Federal, state, and local government units","State and Local ","421"
"Government Organization","Arizona","1982","GO0001","Total Federal, state, and local government units","State and Local ","453"
"Government Organization","Arizona","1987","GO0001","Total Federal, state, and local government units","State and Local ","577"
"Government Organization","Arizona","1992","GO0001","Total Federal, state, and local government units","State and Local ","591"
"Government Organization","Arizona","1997","GO0001","Total Federal, state, and local government units","State and Local ","638"
"Government Organization","Arizona","2002","GO0001","Total Federal, state, and local government units","State and Local ","639"
"Government Organization","Arizona","2007","GO0001","Total Federal, state, and local government units","State and Local ","646"
"Government Organization","Arizona","2012","GO0001","Total Federal, state, and local government units","State and Local ","675"
"Government Organization","Arizona","2017","GO0001","Total Federal, state, and local government units","State and Local ","659"
"Government Organization","Arkansas","1942","GO0001","Total Federal, state, and local government units","State and Local ","3,705"
"Government Organization","Arkansas","1952","GO0001","Total Federal, state, and local government units","State and Local ","1,089"
"Government Organization","Arkansas","1957","GO0001","Total Federal, state, and local government units","State and Local ","1,127"
"Government Organization","Arkansas","1962","GO0001","Total Federal, state, and local government units","State and Local ","1,209"
"Government Organization","Arkansas","1967","GO0001","Total Federal, state, and local government units","State and Local ","1,253"
"Government Organization","Arkansas","1972","GO0001","Total Federal, state, and local government units","State and Local ","1,284"
"Government Organization","Arkansas","1977","GO0001","Total Federal, state, and local government units","State and Local ","1,347"
"Government Organization","Arkansas","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,425"
"Government Organization","Arkansas","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,397"
"Government Organization","Arkansas","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,447"
"Government Organization","Arkansas","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,517"
"Government Organization","Arkansas","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,589"
"Government Organization","Arkansas","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,549"
"Government Organization","Arkansas","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,557"
"Government Organization","Arkansas","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,542"
"Government Organization","California","1942","GO0001","Total Federal, state, and local government units","State and Local ","4,149"
"Government Organization","California","1952","GO0001","Total Federal, state, and local government units","State and Local ","3,764"
"Government Organization","California","1957","GO0001","Total Federal, state, and local government units","State and Local ","3,879"
"Government Organization","California","1962","GO0001","Total Federal, state, and local government units","State and Local ","4,023"
"Government Organization","California","1967","GO0001","Total Federal, state, and local government units","State and Local ","3,865"
"Government Organization","California","1972","GO0001","Total Federal, state, and local government units","State and Local ","3,820"
"Government Organization","California","1977","GO0001","Total Federal, state, and local government units","State and Local ","3,807"
"Government Organization","California","1982","GO0001","Total Federal, state, and local government units","State and Local ","4,103"
"Government Organization","California","1987","GO0001","Total Federal, state, and local government units","State and Local ","4,332"
"Government Organization","California","1992","GO0001","Total Federal, state, and local government units","State and Local ","4,393"
"Government Organization","California","1997","GO0001","Total Federal, state, and local government units","State and Local ","4,608"
"Government Organization","California","2002","GO0001","Total Federal, state, and local government units","State and Local ","4,410"
"Government Organization","California","2007","GO0001","Total Federal, state, and local government units","State and Local ","4,345"
"Government Organization","California","2012","GO0001","Total Federal, state, and local government units","State and Local ","4,426"
"Government Organization","California","2017","GO0001","Total Federal, state, and local government units","State and Local ","4,445"
"Government Organization","Colorado","1942","GO0001","Total Federal, state, and local government units","State and Local ","2,358"
"Government Organization","Colorado","1952","GO0001","Total Federal, state, and local government units","State and Local ","1,953"
"Government Organization","Colorado","1957","GO0001","Total Federal, state, and local government units","State and Local ","1,666"
"Government Organization","Colorado","1962","GO0001","Total Federal, state, and local government units","State and Local ","1,194"
"Government Organization","Colorado","1967","GO0001","Total Federal, state, and local government units","State and Local ","1,253"
"Government Organization","Colorado","1972","GO0001","Total Federal, state, and local government units","State and Local ","1,320"
"Government Organization","Colorado","1977","GO0001","Total Federal, state, and local government units","State and Local ","1,460"
"Government Organization","Colorado","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,545"
"Government Organization","Colorado","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,594"
"Government Organization","Colorado","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,761"
"Government Organization","Colorado","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,870"
"Government Organization","Colorado","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,929"
"Government Organization","Colorado","2007","GO0001","Total Federal, state, and local government units","State and Local ","2,417"
"Government Organization","Colorado","2012","GO0001","Total Federal, state, and local government units","State and Local ","2,906"
"Government Organization","Colorado","2017","GO0001","Total Federal, state, and local government units","State and Local ","3,142"
"Government Organization","Connecticut","1942","GO0001","Total Federal, state, and local government units","State and Local ","349"
"Government Organization","Connecticut","1952","GO0001","Total Federal, state, and local government units","State and Local ","363"
"Government Organization","Connecticut","1957","GO0001","Total Federal, state, and local government units","State and Local ","384"
"Government Organization","Connecticut","1962","GO0001","Total Federal, state, and local government units","State and Local ","399"
"Government Organization","Connecticut","1967","GO0001","Total Federal, state, and local government units","State and Local ","414"
"Government Organization","Connecticut","1972","GO0001","Total Federal, state, and local government units","State and Local ","429"
"Government Organization","Connecticut","1977","GO0001","Total Federal, state, and local government units","State and Local ","435"
"Government Organization","Connecticut","1982","GO0001","Total Federal, state, and local government units","State and Local ","480"
"Government Organization","Connecticut","1987","GO0001","Total Federal, state, and local government units","State and Local ","478"
"Government Organization","Connecticut","1992","GO0001","Total Federal, state, and local government units","State and Local ","564"
"Government Organization","Connecticut","1997","GO0001","Total Federal, state, and local government units","State and Local ","584"
"Government Organization","Connecticut","2002","GO0001","Total Federal, state, and local government units","State and Local ","581"
"Government Organization","Connecticut","2007","GO0001","Total Federal, state, and local government units","State and Local ","650"
"Government Organization","Connecticut","2012","GO0001","Total Federal, state, and local government units","State and Local ","644"
"Government Organization","Connecticut","2017","GO0001","Total Federal, state, and local government units","State and Local ","626"
"Government Organization","Delaware","1942","GO0001","Total Federal, state, and local government units","State and Local ","70"
"Government Organization","Delaware","1952","GO0001","Total Federal, state, and local government units","State and Local ","108"
"Government Organization","Delaware","1957","GO0001","Total Federal, state, and local government units","State and Local ","132"
"Government Organization","Delaware","1962","GO0001","Total Federal, state, and local government units","State and Local ","208"
"Government Organization","Delaware","1967","GO0001","Total Federal, state, and local government units","State and Local ","171"
"Government Organization","Delaware","1972","GO0001","Total Federal, state, and local government units","State and Local ","159"
"Government Organization","Delaware","1977","GO0001","Total Federal, state, and local government units","State and Local ","211"
"Government Organization","Delaware","1982","GO0001","Total Federal, state, and local government units","State and Local ","218"
"Government Organization","Delaware","1987","GO0001","Total Federal, state, and local government units","State and Local ","282"
"Government Organization","Delaware","1992","GO0001","Total Federal, state, and local government units","State and Local ","276"
"Government Organization","Delaware","1997","GO0001","Total Federal, state, and local government units","State and Local ","337"
"Government Organization","Delaware","2002","GO0001","Total Federal, state, and local government units","State and Local ","340"
"Government Organization","Delaware","2007","GO0001","Total Federal, state, and local government units","State and Local ","339"
"Government Organization","Delaware","2012","GO0001","Total Federal, state, and local government units","State and Local ","340"
"Government Organization","Delaware","2017","GO0001","Total Federal, state, and local government units","State and Local ","335"
"Government Organization","District of Columbia","1942","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","1952","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","1957","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","1962","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","1967","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","1972","GO0001","Total Federal, state, and local government units","State and Local ","3"
"Government Organization","District of Columbia","1977","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","1982","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","1987","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","1992","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","1997","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","2002","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","2007","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","2012","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","District of Columbia","2017","GO0001","Total Federal, state, and local government units","State and Local ","2"
"Government Organization","Florida","1942","GO0001","Total Federal, state, and local government units","State and Local ","503"
"Government Organization","Florida","1952","GO0001","Total Federal, state, and local government units","State and Local ","617"
"Government Organization","Florida","1957","GO0001","Total Federal, state, and local government units","State and Local ","672"
"Government Organization","Florida","1962","GO0001","Total Federal, state, and local government units","State and Local ","765"
"Government Organization","Florida","1967","GO0001","Total Federal, state, and local government units","State and Local ","828"
"Government Organization","Florida","1972","GO0001","Total Federal, state, and local government units","State and Local ","866"
"Government Organization","Florida","1977","GO0001","Total Federal, state, and local government units","State and Local ","912"
"Government Organization","Florida","1982","GO0001","Total Federal, state, and local government units","State and Local ","970"
"Government Organization","Florida","1987","GO0001","Total Federal, state, and local government units","State and Local ","966"
"Government Organization","Florida","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,014"
"Government Organization","Florida","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,082"
"Government Organization","Florida","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,192"
"Government Organization","Florida","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,624"
"Government Organization","Florida","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,651"
"Government Organization","Florida","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,713"
"Government Organization","Georgia","1942","GO0001","Total Federal, state, and local government units","State and Local ","946"
"Government Organization","Georgia","1952","GO0001","Total Federal, state, and local government units","State and Local ","976"
"Government Organization","Georgia","1957","GO0001","Total Federal, state, and local government units","State and Local ","1,121"
"Government Organization","Georgia","1962","GO0001","Total Federal, state, and local government units","State and Local ","1,219"
"Government Organization","Georgia","1967","GO0001","Total Federal, state, and local government units","State and Local ","1,204"
"Government Organization","Georgia","1972","GO0001","Total Federal, state, and local government units","State and Local ","1,244"
"Government Organization","Georgia","1977","GO0001","Total Federal, state, and local government units","State and Local ","1,264"
"Government Organization","Georgia","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,269"
"Government Organization","Georgia","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,287"
"Government Organization","Georgia","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,298"
"Government Organization","Georgia","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,345"
"Government Organization","Georgia","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,449"
"Government Organization","Georgia","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,440"
"Government Organization","Georgia","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,379"
"Government Organization","Georgia","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,381"
"Government Organization","Hawaii","1942","GO0001","Total Federal, state, and local government units","State and Local ","X"
"Government Organization","Hawaii","1952","GO0001","Total Federal, state, and local government units","State and Local ","15"
"Government Organization","Hawaii","1957","GO0001","Total Federal, state, and local government units","State and Local ","22"
"Government Organization","Hawaii","1962","GO0001","Total Federal, state, and local government units","State and Local ","21"
"Government Organization","Hawaii","1967","GO0001","Total Federal, state, and local government units","State and Local ","20"
"Government Organization","Hawaii","1972","GO0001","Total Federal, state, and local government units","State and Local ","20"
"Government Organization","Hawaii","1977","GO0001","Total Federal, state, and local government units","State and Local ","20"
